latitude;;longitude;elevation;utc_offset_seconds;timezone;timezone_abbreviation;;
-7.768014;;110.39183;110;25200;Asia/Bangkok;7;;
;;;;;;;;
time;;temperature_2m (°C);relative_humidity_2m (%);rain (mm);shortwave_radiation_instant (W/m²);sunshine_duration (s);;
08/01/2020;06:00;23.3;96;0.2;11.5;0;;
08/01/2020;07:00;24.5;92;0;147.4;2229.29;;
08/01/2020;08:00;25.1;88;0.1;268.1;1879.54;;
08/01/2020;09:00;26.1;85;0.1;434.7;3600;;
08/01/2020;10:00;27.1;85;0.2;537.1;3600;;
08/01/2020;11:00;26.7;84;2.1;533.8;2452.21;;
08/01/2020;12:00;26.1;87;1.8;301.8;0;;
08/01/2020;13:00;26.2;91;0.3;317.1;0;;
08/01/2020;14:00;26.7;87;0.3;364.2;921.38;;
08/01/2020;15:00;27;83;0.2;289.4;231.95;;
08/01/2020;16:00;26.6;82;0.6;209.9;455.11;;
08/01/2020;17:00;26.2;85;0.2;72;0;;
08/01/2020;18:00;25.2;91;0.1;0;0;;
08/01/2020;19:00;24.9;94;0;0;0;;
08/01/2020;20:00;24.7;94;0.2;0;0;;
08/01/2020;21:00;24.3;92;0.1;0;0;;
08/01/2020;22:00;24;93;0;0;0;;
08/01/2020;23:00;23.6;94;0;0;0;;
09/01/2020;00:00;22.8;96;0;0;0;;
09/01/2020;01:00;22.6;96;0;0;0;;
09/01/2020;02:00;22.4;96;0;0;0;;
09/01/2020;03:00;22.6;95;0;0;0;;
09/01/2020;04:00;23.8;89;0;0;0;;
09/01/2020;05:00;23.5;90;0;0;0;;
09/01/2020;06:00;23.2;96;0;27.6;0;;
09/01/2020;07:00;25.1;88;0;215.7;3600;;
09/01/2020;08:00;26.5;84;0;428.4;3600;;
09/01/2020;09:00;27.5;84;0.1;598;3600;;
09/01/2020;10:00;27.7;83;0.1;657.9;3600;;
09/01/2020;11:00;28.7;77;0.5;804.5;3600;;
09/01/2020;12:00;27.7;85;1.6;643.8;3600;;
09/01/2020;13:00;27.4;86;1.7;534.5;3600;;
09/01/2020;14:00;27.5;88;1.5;468.9;3600;;
09/01/2020;15:00;26.3;83;0.3;389.9;3600;;
09/01/2020;16:00;26.4;88;0.2;162.6;0;;
09/01/2020;17:00;25.4;91;0.2;126.2;3600;;
09/01/2020;18:00;24.8;93;0.4;0;113.58;;
09/01/2020;19:00;24.9;94;0.1;0;0;;
09/01/2020;20:00;24.9;94;0;0;0;;
09/01/2020;21:00;24.6;93;0.4;0;0;;
09/01/2020;22:00;24.6;92;0.1;0;0;;
09/01/2020;23:00;24.7;91;0;0;0;;
10/01/2020;00:00;24.1;96;0;0;0;;
10/01/2020;01:00;24.4;92;0;0;0;;
10/01/2020;02:00;23.5;96;0;0;0;;
10/01/2020;03:00;23.3;95;0;0;0;;
10/01/2020;04:00;23;96;0;0;0;;
10/01/2020;05:00;23;95;0.1;0;0;;
10/01/2020;06:00;23.4;94;0.3;13.9;0;;
10/01/2020;07:00;24.8;93;0.3;142.2;1765.13;;
10/01/2020;08:00;26.4;84;0;368.4;3600;;
10/01/2020;09:00;27;83;0.1;424.9;3600;;
10/01/2020;10:00;27.2;84;0.1;545;3600;;
10/01/2020;11:00;27.8;81;0.1;715.5;3600;;
10/01/2020;12:00;27.4;77;0.3;550.7;3600;;
10/01/2020;13:00;26.7;81;1.3;421.1;980.3;;
10/01/2020;14:00;25.8;90;2.6;171;0;;
10/01/2020;15:00;25.7;92;0.8;130.6;0;;
10/01/2020;16:00;25.6;90;0.5;98.1;0;;
10/01/2020;17:00;25.2;90;0.5;52.2;0;;
10/01/2020;18:00;24.6;92;0.3;0;0;;
10/01/2020;19:00;24.6;91;0.2;0;0;;
10/01/2020;20:00;24.6;91;0.1;0;0;;
10/01/2020;21:00;24.5;91;0.1;0;0;;
10/01/2020;22:00;24.3;93;0;0;0;;
10/01/2020;23:00;23.8;95;0.1;0;0;;
11/01/2020;00:00;24.1;93;0.1;0;0;;
11/01/2020;01:00;23.6;96;0.1;0;0;;
11/01/2020;02:00;23.4;96;0.1;0;0;;
11/01/2020;03:00;23.4;96;0;0;0;;
11/01/2020;04:00;23.3;96;0;0;0;;
11/01/2020;05:00;22.6;97;0;0;0;;
11/01/2020;06:00;23.4;94;0;18.5;0;;
11/01/2020;07:00;24.6;90;0;153.3;1393.52;;
11/01/2020;08:00;25.7;85;0.4;325.6;3600;;
11/01/2020;09:00;26.4;84;0.1;363.9;2112.06;;
11/01/2020;10:00;27.1;82;0.1;397.6;1975.96;;
11/01/2020;11:00;28.4;77;0.1;711.5;3600;;
11/01/2020;12:00;28.5;75;0;581.9;3600;;
11/01/2020;13:00;27.9;76;0.1;541.6;3600;;
11/01/2020;14:00;27.6;78;0.2;519.6;3600;;
11/01/2020;15:00;26.8;82;0.1;242.6;2199.24;;
11/01/2020;16:00;26.4;83;0;104.7;0;;
11/01/2020;17:00;25.6;87;0.4;50.3;0;;
11/01/2020;18:00;25.1;89;0.1;0;0;;
11/01/2020;19:00;24.2;94;0.3;0;0;;
11/01/2020;20:00;23.6;97;2.1;0;0;;
11/01/2020;21:00;23.5;96;2.4;0;0;;
11/01/2020;22:00;23.8;94;2.1;0;0;;
11/01/2020;23:00;23.7;92;2.1;0;0;;
12/01/2020;00:00;23.6;91;1.9;0;0;;
12/01/2020;01:00;23.6;91;2.5;0;0;;
12/01/2020;02:00;23.6;91;1;0;0;;
12/01/2020;03:00;23.5;91;0.3;0;0;;
12/01/2020;04:00;23.3;90;0;0;0;;
12/01/2020;05:00;23;90;0;0;0;;
12/01/2020;06:00;23.3;89;0;7;0;;
12/01/2020;07:00;24.3;82;0;60.9;0;;
12/01/2020;08:00;26;76;0;261.7;2590.27;;
12/01/2020;09:00;27.4;69;0;459.4;3600;;
12/01/2020;10:00;28.6;67;0;743.7;3600;;
12/01/2020;11:00;29.3;65;0;794.7;3600;;
12/01/2020;12:00;30.1;62;0;948.3;3600;;
12/01/2020;13:00;29.4;64;0.2;729;3600;;
12/01/2020;14:00;28.9;68;0.4;562.7;3600;;
12/01/2020;15:00;28;75;0;391.2;3600;;
12/01/2020;16:00;27.2;80;0.4;273.5;3600;;
12/01/2020;17:00;27;83;0.1;141;3600;;
12/01/2020;18:00;25.9;86;0.1;0;2347.73;;
12/01/2020;19:00;25.1;88;0;0;0;;
12/01/2020;20:00;25.1;87;0;0;0;;
12/01/2020;21:00;24.6;89;0;0;0;;
12/01/2020;22:00;24.2;91;0;0;0;;
12/01/2020;23:00;24.1;89;0;0;0;;
13/01/2020;00:00;23.6;90;0;0;0;;
13/01/2020;01:00;23.3;93;0.1;0;0;;
13/01/2020;02:00;23;96;0.1;0;0;;
13/01/2020;03:00;23.1;94;0.1;0;0;;
13/01/2020;04:00;23.3;90;0.1;0;0;;
13/01/2020;05:00;22.8;91;0;0;0;;
13/01/2020;06:00;23.1;89;0;23.3;0;;
13/01/2020;07:00;25.4;82;0;226;3600;;
13/01/2020;08:00;26.8;77;0;473.2;3600;;
13/01/2020;09:00;27.9;75;0;678.6;3600;;
13/01/2020;10:00;29;69;0.1;786;3600;;
13/01/2020;11:00;29.8;62;0;892.4;3600;;
13/01/2020;12:00;30.2;61;0.1;973.6;3600;;
13/01/2020;13:00;30.3;62;0.1;857.3;3600;;
13/01/2020;14:00;29.8;65;0;684.4;3600;;
13/01/2020;15:00;29.7;64;0;655.4;3600;;
13/01/2020;16:00;28.9;71;0;438.3;3600;;
13/01/2020;17:00;27.9;77;0;197.7;3600;;
13/01/2020;18:00;26.4;84;0;0;2470.28;;
13/01/2020;19:00;25.4;87;0.1;0;0;;
13/01/2020;20:00;25.5;86;0.2;0;0;;
13/01/2020;21:00;25.2;83;0;0;0;;
13/01/2020;22:00;24.7;83;0;0;0;;
13/01/2020;23:00;24.9;79;0;0;0;;
14/01/2020;00:00;24.1;81;0;0;0;;
14/01/2020;01:00;24.4;78;0;0;0;;
14/01/2020;02:00;24.4;79;0;0;0;;
14/01/2020;03:00;23.3;89;0;0;0;;
14/01/2020;04:00;23.4;86;0;0;0;;
14/01/2020;05:00;22.6;90;0;0;0;;
14/01/2020;06:00;23.4;89;0;18.7;0;;
14/01/2020;07:00;25.4;81;0;160.9;1464.85;;
14/01/2020;08:00;27;75;0;435.3;3600;;
14/01/2020;09:00;27.8;74;0;643.7;3600;;
14/01/2020;10:00;29;72;0;855.2;3600;;
14/01/2020;11:00;29.8;69;0;847;3600;;
14/01/2020;12:00;30.5;65;0.1;851.3;3600;;
14/01/2020;13:00;29.5;71;0.1;628.3;3600;;
14/01/2020;14:00;29;75;0.1;621.9;3600;;
14/01/2020;15:00;28.3;76;0.3;365.6;3600;;
14/01/2020;16:00;27.9;79;0.4;300;3600;;
14/01/2020;17:00;26.7;84;0.4;149.5;3600;;
14/01/2020;18:00;26;89;0.4;0;885.97;;
14/01/2020;19:00;25.5;87;0.3;0;0;;
14/01/2020;20:00;25.2;88;0;0;0;;
14/01/2020;21:00;24.9;89;0;0;0;;
14/01/2020;22:00;24.5;91;0;0;0;;
14/01/2020;23:00;24.3;92;0;0;0;;
15/01/2020;00:00;23.5;96;0;0;0;;
15/01/2020;01:00;22.9;97;0;0;0;;
15/01/2020;02:00;22.6;96;0;0;0;;
15/01/2020;03:00;22.5;95;0;0;0;;
15/01/2020;04:00;22.4;93;0;0;0;;
15/01/2020;05:00;22.3;92;0;0;0;;
15/01/2020;06:00;23.6;87;0;21.1;0;;
15/01/2020;07:00;25.8;85;0;238.2;3600;;
15/01/2020;08:00;27.5;78;0;451.8;3600;;
15/01/2020;09:00;28.8;73;0;695.1;3600;;
15/01/2020;10:00;29.7;69;0.1;832.8;3600;;
15/01/2020;11:00;30.2;66;0.1;804.6;3600;;
15/01/2020;12:00;30.1;70;0.1;801.3;3600;;
15/01/2020;13:00;28.8;77;0.6;712.9;3600;;
15/01/2020;14:00;28.3;79;0.7;512.6;3600;;
15/01/2020;15:00;27.6;82;1.2;373.7;3600;;
15/01/2020;16:00;26.9;88;0.2;250.9;3600;;
15/01/2020;17:00;26.3;89;0.2;55.3;0;;
15/01/2020;18:00;25.5;96;0.4;0;0;;
15/01/2020;19:00;25.5;93;0.2;0;0;;
15/01/2020;20:00;25.3;96;1.1;0;0;;
15/01/2020;21:00;25.3;95;0.6;0;0;;
15/01/2020;22:00;25;96;0.4;0;0;;
15/01/2020;23:00;24.6;97;0.1;0;0;;
16/01/2020;00:00;24.2;96;0;0;0;;
16/01/2020;01:00;24;96;0.1;0;0;;
16/01/2020;02:00;24;97;0.3;0;0;;
16/01/2020;03:00;24.4;93;0;0;0;;
16/01/2020;04:00;24;96;0;0;0;;
16/01/2020;05:00;23.8;98;0.1;0;0;;
16/01/2020;06:00;23.8;98;0;14.1;0;;
16/01/2020;07:00;25.2;92;0;111;2062.99;;
16/01/2020;08:00;26.5;87;0;344.4;3600;;
16/01/2020;09:00;28;79;0;574.9;3600;;
16/01/2020;10:00;29.1;72;0.1;685.2;3600;;
16/01/2020;11:00;29.6;70;0.1;787.1;3600;;
16/01/2020;12:00;29.7;72;0.2;782.3;3600;;
16/01/2020;13:00;29.1;76;0;640.2;3600;;
16/01/2020;14:00;28.6;79;0.1;500.5;3600;;
16/01/2020;15:00;28.6;78;0.1;385.4;3600;;
16/01/2020;16:00;27.3;83;0.1;197.7;2932.04;;
16/01/2020;17:00;26.5;85;0.1;65.5;390.62;;
16/01/2020;18:00;25.8;91;0;0;0;;
16/01/2020;19:00;26.6;85;0;0;0;;
16/01/2020;20:00;25.7;88;0.5;0;0;;
16/01/2020;21:00;25.3;91;0.1;0;0;;
16/01/2020;22:00;25.3;91;0;0;0;;
16/01/2020;23:00;24.7;94;0;0;0;;
17/01/2020;00:00;24.3;95;0;0;0;;
17/01/2020;01:00;23.9;95;0;0;0;;
17/01/2020;02:00;23.5;95;0;0;0;;
17/01/2020;03:00;23.1;95;0;0;0;;
17/01/2020;04:00;22.5;94;0;0;0;;
17/01/2020;05:00;22.6;93;0;0;0;;
17/01/2020;06:00;23.1;90;0;18.9;0;;
17/01/2020;07:00;25.6;85;0;213.3;3600;;
17/01/2020;08:00;27.4;80;0;474.9;3600;;
17/01/2020;09:00;28.5;74;0.1;674.1;3600;;
17/01/2020;10:00;29.2;71;0;764.2;3600;;
17/01/2020;11:00;29.9;68;0;870.4;3600;;
17/01/2020;12:00;30.4;65;0.1;936.2;3600;;
17/01/2020;13:00;30.4;66;0;833.7;3600;;
17/01/2020;14:00;29.9;69;0;688.7;3600;;
17/01/2020;15:00;29.6;70;0;543.9;3600;;
